Year,Region,Average Weekly earnings,Medain Weekly earnings,Average hourly earnings,Median hourly earnings,Number of people
2000,Nelson/Tasman/Malborough/West Coast,546,500,18.15,14.06,104.3
2001,Nelson/Tasman/Malborough/West Coast,574,532,17.79,14.86,109
2002,Nelson/Tasman/Malborough/West Coast,589,532,19,15.48,107.8
2003,Nelson/Tasman/Malborough/West Coast,598,537,18.39,15.25,107.9
2004,Nelson/Tasman/Malborough/West Coast,649,600,19.02,16.59,108.1
2005,Nelson/Tasman/Malborough/West Coast,623,556,19.03,15.58,113.5
2006,Nelson/Tasman/Malborough/West Coast,697,600,20.42,17.38,114.3
2007,Nelson/Tasman/Malborough/West Coast,798,672,23.62,19.06,119
2008,Nelson/Tasman/Malborough/West Coast,781,675,24.19,19.56,120.8
2009,Nelson/Tasman/Malborough/West Coast,777,671,24.55,19.66,123.3
2010,Nelson/Tasman/Malborough/West Coast,820,738,25.45,20.14,120
2011,Nelson/Tasman/Malborough/West Coast,827,767,25.33,21.97,119.4
2012,Nelson/Tasman/Malborough/West Coast,877,767,28.51,22.58,121.7
2013,Nelson/Tasman/Malborough/West Coast,954,806,28.67,24.09,122.2
2014,Nelson/Tasman/Malborough/West Coast,952,861,28.19,23.44,124.3
2015,Nelson/Tasman/Malborough/West Coast,908,795,27.39,23,127.6
2016,Nelson/Tasman/Malborough/West Coast,1058,925,29.67,24.93,135.5
2017,Nelson/Tasman/Malborough/West Coast,1076,940,30.81,25,137.1
2018,Nelson/Tasman/Malborough/West Coast,1109,959,32.81,25.57,140.3
2019,Nelson/Tasman/Malborough/West Coast,1157,997,35.53,26.37,145.6
1998,Cantebury,379,345,14.25,11.42,92.9
1999,Cantebury,419,372,17.75,12,102.6
2000,Cantebury,419,380,14.69,12.09,100.1
2001,Cantebury,432,400,14.77,12.66,110.4
2002,Cantebury,470,400,17.9,12.89,113.9
2003,Cantebury,483,435,20.27,13.2,119.4
2004,Cantebury,526,461,19.61,13.7,121.6
2005,Cantebury,544,507,20.01,15,135.1
2006,Cantebury,590,522,22.19,16,136.7
2007,Cantebury,601,552,21.42,16.5,134
2008,Cantebury,602,537,20.05,16.17,140.1
2009,Cantebury,665,595,22.59,18.5,131.1
2010,Cantebury,695,611,22.85,19,139
2011,Cantebury,705,638,23.07,19.02,130.5
2012,Cantebury,730,644,25.8,19.32,126.6
2013,Cantebury,754,671,26.08,20.19,137.2
2014,Cantebury,812,680,25.04,19.77,140.8
2015,Cantebury,766,710,25.28,20.09,145.5
2016,Cantebury,842,756,28.51,22.38,149.6
2017,Cantebury,863,749,29.54,23,159.6
2018,Cantebury,905,800,30.03,23.6,158.3
2019,Cantebury,930,840,29.41,23.65,157.9
1998,Otago,395,370,14.76,11.8,40.9
1999,Otago,391,317,15.69,11.47,39.2
2000,Otago,368,320,14.38,11.62,40.4
2001,Otago,438,403,17.21,12.2,42.9
2002,Otago,411,387,16.53,12,44.2
2003,Otago,469,440,26.17,13.08,43.6
2004,Otago,498,435,17.2,13.7,45.2
2005,Otago,512,480,17.36,14.78,46.9
2006,Otago,531,480,18.62,15.28,48.9
2007,Otago,567,540,18.68,16.15,50.3
2008,Otago,591,540,20.08,17,47.9
2009,Otago,623,575,23.88,17.76,48.6
2010,Otago,666,593,26.07,18.75,50
2011,Otago,660,589,26.71,18.22,51.2
2012,Otago,660,600,21.7,18.2,52
2013,Otago,717,660,23.84,20,49.9
2014,Otago,719,633,25.38,20.31,51.8
2015,Otago,726,693,25.11,20,51.4
2016,Otago,780,730,26.32,20,53.1
2017,Otago,809,737,26.44,21.23,56.1
2018,Otago,868,800,27.51,23,62.7
2019,Otago,857,800,25.68,22.38,59.6
1998,Southland,371,336,14.97,11.33,17.6
1999,Southland,385,305,14.73,11,20.3
2000,Southland,412,350,19.37,11.8,17.9
2001,Southland,468,370,21.43,12.29,19.6
2002,Southland,476,380,18.74,13.07,19.9
2003,Southland,466,405,17.96,11.75,21.2
2004,Southland,487,450,19.95,13.43,21.3
2005,Southland,461,412,18.54,13.85,21.9
2006,Southland,526,494,17.95,14.63,22.5
2007,Southland,581,520,22.68,15,21.5
2008,Southland,569,550,18.89,16,22.1
2009,Southland,595,555,21.34,16.78,23.1
2010,Southland,613,568,20.51,16.88,23
2011,Southland,627,550,23.63,17.5,23.1
2012,Southland,596,540,20.84,17.42,24
2013,Southland,679,619,25.7,19.38,22.9
2014,Southland,705,652,23.54,19.23,23.7
2015,Southland,753,690,24.78,20,23.6
2016,Southland,764,741,22.37,19.18,25.8
2017,Southland,741,680,26.43,19.53,19.9
2018,Southland,689,671,28.57,21,23.7
2019,Southland,1012,812,36.22,22.97,25.6
